# step cn bias_eV energy_eV temperature_K
187000 0.007480 8.1647918099e-01 -273326.093750 295.49
187500 0.005776 8.1474944428e-01 -273325.843750 276.63
188000 0.008105 8.2224918024e-01 -273324.531250 285.52
188500 0.006577 8.2091155117e-01 -273325.406250 300.32
189000 0.006759 8.2347298866e-01 -273326.437500 292.10
189500 0.006093 8.2407684070e-01 -273327.625000 305.46
190000 0.009082 8.3298594088e-01 -273325.875000 306.09
190500 0.008351 8.3341878083e-01 -273326.000000 301.47
191000 0.006960 8.3233773354e-01 -273326.156250 288.51
191500 0.006244 8.3277676503e-01 -273325.968750 278.07
192000 0.004979 8.3192670176e-01 -273324.906250 289.52
192500 0.007375 8.3951874121e-01 -273324.812500 303.66
193000 0.007903 8.4275307938e-01 -273324.500000 285.62
193500 0.006319 8.4116290039e-01 -273325.250000 279.14
194000 0.006387 8.4334786914e-01 -273325.093750 301.79
194500 0.005839 8.4410240210e-01 -273325.031250 290.14
195000 0.006028 8.4655116814e-01 -273324.750000 270.59
195500 0.005752 8.4791387407e-01 -273326.125000 301.99
196000 0.004032 8.4590005825e-01 -273324.062500 301.81
196500 0.003379 8.4636396007e-01 -273323.906250 313.18
197000 0.004741 8.5156074481e-01 -273325.031250 299.81
197500 0.005945 8.5632162652e-01 -273326.000000 287.50
198000 0.005212 8.5657200115e-01 -273325.718750 293.99
198500 0.006968 8.6255829378e-01 -273324.093750 280.06
199000 0.008908 8.6885234836e-01 -273326.406250 284.13
199500 0.008382 8.6955249987e-01 -273325.781250 293.69
200000 0.011397 8.7810211814e-01 -273325.531250 303.65
200500 0.008728 8.7403557510e-01 -273325.718750 300.25
201000 0.010175 8.7910757982e-01 -273325.156250 287.96
201500 0.015673 8.9270811813e-01 -273325.843750 304.04
202000 0.007489 8.7667772699e-01 -273324.906250 278.48
202500 0.008577 8.8097291632e-01 -273323.031250 288.29
203000 0.009831 8.8558769173e-01 -273325.343750 286.96
203500 0.015306 8.9914924323e-01 -273323.906250 291.72
204000 0.009216 8.8774180877e-01 -273324.281250 288.20
204500 0.007241 8.8507355303e-01 -273324.968750 302.15
205000 0.008350 8.8938193933e-01 -273324.187500 295.89
205500 0.007454 8.8912982109e-01 -273326.093750 309.67
206000 0.011158 8.9916111333e-01 -273323.656250 302.70
206500 0.010379 8.9918084519e-01 -273323.843750 320.72
207000 0.007440 8.9433233789e-01 -273324.156250 300.73
207500 0.006004 8.9279209254e-01 -273324.093750 320.22
208000 0.008176 8.9950983093e-01 -273324.406250 297.24
208500 0.006287 8.9693154705e-01 -273326.000000 293.12
209000 0.007457 9.0134598017e-01 -273325.562500 316.17
209500 0.008353 9.0509146253e-01 -273326.000000 289.20
210000 0.008266 9.0659502053e-01 -273324.625000 290.72
210500 0.007040 9.0550755952e-01 -273324.500000 304.22
211000 0.005809 9.0437647864e-01 -273324.687500 297.01
211500 0.011825 9.1954818593e-01 -273324.000000 306.33
212000 0.014999 9.2791900042e-01 -273325.281250 293.74
212500 0.012597 9.2444220271e-01 -273324.187500 299.73
213000 0.014149 9.2934793690e-01 -273324.406250 286.02
213500 0.009419 9.2069962839e-01 -273322.562500 308.29
214000 0.012636 9.2935471172e-01 -273325.281250 302.01
214500 0.017007 9.4005782044e-01 -273323.437500 297.84
215000 0.010148 9.2707641971e-01 -273323.812500 313.47
215500 0.007958 9.2378081037e-01 -273324.593750 295.94
216000 0.006911 9.2301186392e-01 -273324.375000 302.99
216500 0.008467 9.2816107247e-01 -273323.718750 307.45
217000 0.009006 9.3096576813e-01 -273325.343750 297.71
217500 0.006848 9.2766315388e-01 -273323.750000 280.81
218000 0.008477 9.3296030780e-01 -273324.156250 308.05
218500 0.007901 9.3323495447e-01 -273324.437500 279.11
219000 0.009938 9.3936635413e-01 -273323.468750 296.02
219500 0.009281 9.3945474243e-01 -273325.062500 274.71
