# step cn bias_eV energy_eV temperature_K
146500 0.342075 3.5348050385e-01 -275287.562500 279.72
147000 0.398951 3.0434423622e-01 -275287.343750 288.35
147500 0.364217 3.4755936801e-01 -275287.031250 321.08
148000 0.423401 2.9822488404e-01 -275287.406250 299.83
148500 0.468607 2.7229783038e-01 -275286.031250 273.55
149000 0.497942 2.6656496012e-01 -275286.031250 304.74
149500 0.401040 3.4486575404e-01 -275287.718750 282.42
150000 0.427229 3.3010607266e-01 -275288.625000 269.07
150500 0.492146 2.9323920027e-01 -275287.750000 303.59
151000 0.407265 3.6343538521e-01 -275287.593750 292.89
151500 0.457232 3.3106219023e-01 -275288.093750 277.97
152000 0.561757 2.9787922165e-01 -275287.562500 292.00
152500 0.430403 3.6614241598e-01 -275288.968750 297.21
153000 0.246394 4.8596340486e-01 -275288.593750 318.52
153500 0.247234 4.9118809869e-01 -275290.906250 297.28
154000 0.245227 4.9696531571e-01 -275288.812500 283.68
154500 0.218038 5.0531612192e-01 -275287.531250 304.70
155000 0.229784 5.0976997811e-01 -275287.468750 289.29
155500 0.154475 4.9817304573e-01 -275286.656250 309.60
156000 0.157500 5.0507629213e-01 -275287.781250 279.88
156500 0.165133 5.1402059357e-01 -275288.750000 285.33
157000 0.184343 5.2603990368e-01 -275288.281250 299.87
157500 0.226765 5.3364975142e-01 -275288.687500 303.44
158000 0.174096 5.3205446911e-01 -275289.343750 304.37
158500 0.317066 4.9824421083e-01 -275289.437500 275.76
159000 0.442000 3.8536479655e-01 -275289.156250 296.08
159500 0.542090 3.2621578532e-01 -275288.281250 288.38
160000 0.631707 3.4815294965e-01 -275287.625000 299.97
160500 0.673539 3.8902022944e-01 -275289.125000 298.19
161000 0.517844 3.5416768022e-01 -275288.375000 301.00
161500 0.494637 3.7384842294e-01 -275287.375000 308.72
162000 0.508315 3.7374556477e-01 -275289.406250 293.81
162500 0.473475 4.0206570975e-01 -275288.156250 305.53
163000 0.554886 3.7112934690e-01 -275287.406250 280.64
163500 0.468833 4.1842489703e-01 -275287.937500 308.75
